Serial No.	Week No.	Sample ID	Sample type	Species (English)	Age	Sex	EURING code	Location	Bird ring number	Location type	Collection date	Arrival date	Pool ID	Indiv. ID	Alliquote date	Taqman date	MA	MA-Ct	H5	H5-Ct	H7	H7-Ct	Virus isolation	E1	E2	Virus pathotype	HA subtype	NA subtype	Remarks	LAT-Y	LONG-X	Health
GEORGIA2010_00001	8	217-1	cloacal swab	Yellow-legged Gull	J		Ø5927	Tbilisi River		area not under restriction	2009/09/04	2010/02/18	1513		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00002	8	217-2	cloacal swab	Yellow-legged Gull	A		Ø5927	Tbilisi River		area not under restriction	2009/09/04	2010/02/18	1513		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00003	8	217-3	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/09/10	2010/02/18	1513		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00004	8	217-4	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/09/10	2010/02/18	1513		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00005	8	217-5	cloacal swab	Armenian Gull	A		Ø6ØØ9	Tbilisi River		area not under restriction	2009/09/10	2010/02/18	1513		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00006	8	217-6	cloacal swab	Yellow-legged Gull	A		Ø5927	Tbilisi River		area not under restriction	2009/09/10	2010/02/18	1514		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00007	8	217-7	cloacal swab	Yellow-legged Gull	A		Ø5927	Tbilisi River		area not under restriction	2009/09/10	2010/02/18	1514		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00008	8	217-8	cloacal swab	Yellow-legged Gull	J		Ø5927	Tbilisi River		area not under restriction	2009/09/10	2010/02/18	1514		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00009	8	217-9	cloacal swab	Yellow-legged Gull	A		Ø5927	Tbilisi River		area not under restriction	2009/09/10	2010/02/18	1514		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.6714	44.8441	live without clinical signs
GEORGIA2010_00010	8	217-10	cloacal swab	Yellow-legged Gull	A		Ø5927	Kumisi Lake		area not under restriction	2009/10/16	2010/02/18	1514		2010/02/22	2010-02-22	n		n		n		not performed			Not identifiable	H not determined	N not determined		041.5849	44.8636	live without clinical signs
