source	Collecting_Institution	Collection_Date	Receipt_Date	Location	Country	State_Province	Latitude	Longitude	Host_Species	Host_Common_Name	Host_Identifier	Capture_Status	Health	Age	Behavior	Sample_Identifier	Sample_Material	Influenza_Test_Type	Influenza_Test_Result	Other_pathogens_tested_for (other than influenza)	Other_pathogen_test_result (other than influenza)	Habitat	Sex	Host_ID_Type	Sample_Transport_Medium	Strain_Name	Other_Host_and_Sample_Data									
2013_2_00001	CIP047	11-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Fulica atra	Common Coot	7-9793	A	H	U	W	7-9793	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	U		VTM											
2013_2_00002	CIP047	12-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Anas platyrhynchos	Mallard	7-9800	A	H	U	W	7-9800	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	F		VTM											
2013_2_00003	CIP047	12-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Anas platyrhynchos	Mallard	7-9802	A	H	U	W	7-9802	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	M		VTM											
2013_2_00004	CIP047	12-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Anas platyrhynchos	Mallard	7-9803	A	H	U	W	7-9803	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	M		VTM											
2013_2_00005	CIP047	12-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Anas platyrhynchos	Mallard	7-9805	A	H	U	W	7-9805	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	M		VTM											
2013_2_00006	CIP047	12-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Anas platyrhynchos	Mallard	7-9806	A	H	U	W	7-9806	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	M		VTM											
2013_2_00007	CIP047	12-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Anas clypeata	Northern Shoveler	7-9807	A	H	U	W	7-9807	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	F		VTM											
2013_2_00008	CIP047	12-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Anas clypeata	Northern Shoveler	7-9808	A	H	U	W	7-9808	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	F		VTM											
2013_2_00009	CIP047	12-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Anas clypeata	Northern Shoveler	7-9835	A	H	U	W	7-9835	OP	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	M		VTM											
2013_2_00010	CIP047	12-9-2011	18-1-2013	Madatapa	Republic of Georgia	Samtskhe-Javakheti	41.2056	43.756	Anas clypeata	Northern Shoveler	7-9836	A	H	U	W	7-9836	C	"RRT-PCR MA, RRT-PCR H5, RRT-PCR H7"	"n, n, n"	NA	NA	U	M		VTM											
