WBDB	FAMNAME	SCINAME	COMMONNAME	FAMSEQ	GENSEQ	AUTHORITY	STADESC	SEQ	GENRECID	GENFAMRID	GENNAME	SPCSPECIES	EURING	ADVEURINGS	HRSPEC	SELECTABLE	AOU	BWP	CHRISTIDIS	DFW	ROBERTSON	SIBLEY	STOTZ	TURBOTT	OTHER_CL
3990	Acanthisittidae	Acanthisitta chloris	Rifleman	99	938	Sparrman 1787	recognised	44090	7	99	Acanthisitta	chloris			0	1	0	0	0	0	0	1	0	1	0
3993	Acanthisittidae	Traversia lyalli	Stephens Island Wren	99	940	Rothschild 1894	recognised	44120	30049	99	Traversia	lyalli			0	1	0	0	0	0	0	1	0	1	0
3991	Acanthisittidae	Xenicus longipes	Bush Wren	99	939	Gmelin 1789	recognised	44100	2047	99	Xenicus	longipes			0	1	0	0	0	0	0	1	0	1	0
3992	Acanthisittidae	Xenicus gilviventris	South Island Wren	99	939	Pelzeln 1867	recognised	44110	2047	99	Xenicus	gilviventris			0	1	0	0	0	0	0	1	0	1	0
5427	Acanthizidae	Acanthiza murina	Papuan Thornbill	121	1306	De Vis 1897	recognised	60520	8	121	Acanthiza	murina			0	1	0	0	0	0	0	1	0	0	0
5428	Acanthizidae	Acanthiza katherina	Mountain Thornbill	121	1306	De Vis 1905	recognised	60530	8	121	Acanthiza	katherina			0	1	0	0	1	0	0	1	0	0	0
31262	Acanthizidae	Acanthiza pusilla		121	1306		not recognised	60540	8	121	Acanthiza	pusilla			0	0	0	0	0	0	0	1	0	0	0
5429	Acanthizidae	Acanthiza pusilla	Brown Thornbill	121	1306	White 1790	recognised	60550	8	121	Acanthiza	pusilla			0	1	0	0	1	0	0	0	0	0	0
31263	Acanthizidae	Acanthiza apicalis	Inland Thornbill	121	1306	Gould 1847	recognised	60560	8	121	Acanthiza	apicalis			0	1	0	0	1	0	0	0	0	0	0
5430	Acanthizidae	Acanthiza ewingii	Tasmanian Thornbill	121	1306	Gould 1844	recognised	60570	8	121	Acanthiza	ewingii			0	1	0	0	1	0	0	1	0	0	0
5431	Acanthizidae	Acanthiza reguloides	Buff-rumped Thornbill	121	1306	Vigors & Horsfield 1827	recognised	60580	8	121	Acanthiza	reguloides			0	1	0	0	1	0	0	1	0	0	0
5432	Acanthizidae	Acanthiza inornata	Western Thornbill	121	1306	Gould 1841	recognised	60590	8	121	Acanthiza	inornata			0	1	0	0	1	0	0	1	0	0	0
5433	Acanthizidae	Acanthiza iredalei	Slender-billed Thornbill	121	1306	Mathews 1911	recognised	60600	8	121	Acanthiza	iredalei			0	1	0	0	1	0	0	1	0	0	0
5434	Acanthizidae	Acanthiza chrysorrhoa	Yellow-rumped Thornbill	121	1306	Quoy & Gaimard 1830	recognised	60610	8	121	Acanthiza	chrysorrhoa			0	1	0	0	1	0	0	1	0	0	0
5435	Acanthizidae	Acanthiza uropygialis	Chestnut-rumped Thornbill	121	1306	Gould 1838	recognised	60620	8	121	Acanthiza	uropygialis			0	1	0	0	1	0	0	1	0	0	0
5436	Acanthizidae	Acanthiza nana	Yellow Thornbill	121	1306	Vigors & Horsfield 1827	recognised	60630	8	121	Acanthiza	nana			0	1	0	0	1	0	0	1	0	0	0
5437	Acanthizidae	Acanthiza lineata	Striated Thornbill	121	1306	Gould 1838	recognised	60640	8	121	Acanthiza	lineata			0	1	0	0	1	0	0	1	0	0	0
5438	Acanthizidae	Acanthiza robustirostris	Slaty-backed Thornbill	121	1306	Milligan 1903	recognised	60650	8	121	Acanthiza	robustirostris			0	1	0	0	1	0	0	1	0	0	0
5420	Acanthizidae	Acanthornis magna	Scrubtit	121	1295	Gould 1855	recognised	60050	10	121	Acanthornis	magna			0	1	0	0	1	0	0	1	0	0	0
5460	Acanthizidae	Aphelocephala leucopsis	Southern Whiteface	121	1307	Gould 1841	recognised	60660	122	121	Aphelocephala	leucopsis			0	1	0	0	1	0	0	1	0	0	0
5461	Acanthizidae	Aphelocephala pectoralis	Chestnut-breasted Whiteface	121	1307	Gould 1871	recognised	60670	122	121	Aphelocephala	pectoralis			0	1	0	0	1	0	0	1	0	0	0
5462	Acanthizidae	Aphelocephala nigricincta	Banded Whiteface	121	1307	North 1895	recognised	60680	122	121	Aphelocephala	nigricincta			0	1	0	0	1	0	0	1	0	0	0
5423	Acanthizidae	Calamanthus campestris	Rufous Fieldwren	121	1298	Gould 1841	recognised	60090	234	121	Calamanthus	campestris			0	1	0	0	1	0	0	1	0	0	0
5424	Acanthizidae	Calamanthus fuliginosus	Striated Fieldwren	121	1298	Vigors & Horsfield 1827	recognised	60100	234	121	Calamanthus	fuliginosus			0	1	0	0	1	0	0	1	0	0	0
30038	Acanthizidae	Chthonicola sagittatus	Speckled Warbler	121	1299	Latham 1801	recognised	60110	383	121	Chthonicola	sagittatus			0	1	0	0	1	0	0	1	0	0	0
