217-1	2005-09-03	2009-09-04
217-2	2005-09-03	2009-09-04
217-3	2005-09-09	2009-09-10
217-4	2005-09-09	2009-09-10
217-5	2005-09-09	2009-09-10
217-6	2005-09-09	2009-09-10
217-7	2005-09-09	2009-09-10
217-8	2005-09-09	2009-09-10
217-9	2005-09-09	2009-09-10
217-10	2005-10-15	2009-10-16
217-11	2005-10-15	2009-10-16
217-12	2005-09-04	2009-09-05
217-13	2005-09-04	2009-09-05
217-14	2005-09-10	2009-09-11
217-15	2005-09-11	2009-09-12
217-16	2005-09-11	2009-09-12
217-17	2005-09-11	2009-09-12
217-18	2005-09-11	2009-09-12
217-19	2005-09-12	2009-09-13
217-20	2005-09-12	2009-09-13
217-21	2005-09-12	2009-09-13
217-22	2005-09-12	2009-09-13
217-23	2005-09-12	2009-09-13
217-24	2005-09-12	2009-09-13
217-25	2005-09-12	2009-09-13
217-27	2005-09-24	2009-09-25
217-28	2005-09-24	2009-09-25
217-29	2005-10-03	2009-10-04
217-30	2005-10-03	2009-10-04
217-31	2005-10-03	2009-10-04
217-32	2005-10-03	2009-10-04
217-33	2005-10-05	2009-10-06
217-34	2005-10-05	2009-10-06
217-35	2005-10-05	2009-10-06
217-36	2005-10-05	2009-10-06
217-37	2005-10-05	2009-10-06
217-38	2005-10-05	2009-10-06
217-39	2005-10-05	2009-10-06
217-40	2005-10-05	2009-10-06
217-41	2005-10-05	2009-10-06
217-42	2005-10-05	2009-10-06
217-43	2005-10-05	2009-10-06
217-44	2005-10-05	2009-10-06
217-45	2005-10-05	2009-10-06
217-46	2005-10-31	2009-11-01
217-47	2006-01-30	2010-01-31
217-48	2006-01-30	2010-01-31
217-49	2006-01-30	2010-01-31
217-50	2006-01-30	2010-01-31
217-51	2006-01-30	2010-01-31
217-52	2006-01-30	2010-01-31
217-53	2006-01-30	2010-01-31
217-54	2006-01-30	2010-01-31
217-55	2006-01-30	2010-01-31
217-56	2006-01-30	2010-01-31
217-57	2006-01-30	2010-01-31
217-58	2006-01-30	2010-01-31
217-59	2006-01-30	2010-01-31
217-60	2006-01-30	2010-01-31
217-61	2006-01-30	2010-01-31
217-62	2006-01-30	2010-01-31
217-63	2006-01-30	2010-01-31
217-64	2006-01-30	2010-01-31
217-65	2006-01-30	2010-01-31
217-66	2006-01-30	2010-01-31
217-67	2006-01-30	2010-01-31
217-68	2006-01-30	2010-01-31
217-69	2006-01-30	2010-01-31
217-70	2006-01-30	2010-01-31
217-71	2006-01-30	2010-01-31
217-72	2006-01-30	2010-01-31
217-73	2006-01-30	2010-01-31
217-74	2006-01-30	2010-01-31
217-75	2006-01-30	2010-01-31
217-76	2006-01-30	2010-01-31
217-77	2006-01-30	2010-01-31
217-78	2006-01-30	2010-01-31
217-79	2006-01-30	2010-01-31
217-80	2006-01-30	2010-01-31
217-81	2006-01-30	2010-01-31
217-82	2006-01-30	2010-01-31
217-83	2006-01-30	2010-01-31
217-84	2006-01-30	2010-01-31
217-253	2005-11-07	2009-11-08
217-254	2005-11-07	2009-11-08
217-255	2005-11-07	2009-11-08
217-256	2005-11-08	2009-11-09
217-257	2005-11-07	2009-11-08
217-258	2005-11-07	2009-11-08
217-259	2005-11-07	2009-11-08
217-260	2005-11-07	2009-11-08
217-261	2005-11-08	2009-11-09
217-262	2005-11-08	2009-11-09
217-263	2005-11-08	2009-11-09
217-264	2005-11-08	2009-11-09
217-265	2005-11-08	2009-11-09
217-266	2005-11-08	2009-11-09
217-267	2005-11-08	2009-11-09
217-268	2005-11-08	2009-11-09
217-269	2005-11-08	2009-11-09
217-270	2005-11-08	2009-11-09
217-271	2005-11-08	2009-11-09
217-272	2005-11-08	2009-11-09
217-273	2005-11-08	2009-11-09
217-274	2005-11-08	2009-11-09
217-275	2005-11-08	2009-11-09
217-276	2005-11-08	2009-11-09
217-277	2005-11-08	2009-11-09
217-278	2005-11-08	2009-11-09
217-279	2005-11-08	2009-11-09
217-280	2005-11-08	2009-11-09
217-281	2005-11-09	2009-11-10
217-282	2005-11-09	2009-11-10
217-283	2005-11-09	2009-11-10
217-284	2005-11-09	2009-11-10
217-285	2005-11-09	2009-11-10
217-286	2005-11-09	2009-11-10
217-287	2005-11-09	2009-11-10
217-288	2005-11-09	2009-11-10
217-289	2005-11-09	2009-11-10
217-290	2005-11-09	2009-11-10
217-291	2005-11-09	2009-11-10
217-292	2005-11-09	2009-11-10
217-293	2005-11-09	2009-11-10
217-294	2005-11-09	2009-11-10
217-295	2005-11-09	2009-11-10
217-296	2005-11-09	2009-11-10
217-297	2005-11-09	2009-11-10
217-298	2005-11-09	2009-11-10
217-299	2005-11-09	2009-11-10
217-300	2005-11-09	2009-11-10
217-301	2005-11-09	2009-11-10
217-302	2005-11-09	2009-11-10
217-303	2005-11-09	2009-11-10
217-304	2005-11-09	2009-11-10
217-305	2005-11-10	2009-11-11
217-306	2005-11-10	2009-11-11
217-307	2005-11-10	2009-11-11
217-308	2005-11-10	2009-11-11
217-309	2005-11-10	2009-11-11
217-310	2005-11-10	2009-11-11
217-311	2005-11-10	2009-11-11
217-312	2005-11-10	2009-11-11
217-313	2005-11-11	2009-11-12
217-314	2005-11-12	2009-11-13
217-315	2005-11-13	2009-11-14
217-316	2005-11-14	2009-11-15
217-317	2005-11-15	2009-11-16
217-318	2005-11-16	2009-11-17
217-319	2005-11-17	2009-11-18
217-320	2005-11-18	2009-11-19
217-321	2005-11-19	2009-11-20
217-322	2005-11-20	2009-11-21
217-323	2005-11-21	2009-11-22
217-324	2005-10-31	2009-11-01
217-325	2005-10-31	2009-11-01
217-326	2005-10-31	2009-11-01
217-327	2005-11-01	2009-11-02
217-328	2005-11-01	2009-11-02
217-329	2005-11-02	2009-11-03
217-330	2005-11-02	2009-11-03
217-331	2005-11-02	2009-11-03
217-332	2005-11-02	2009-11-03
217-333	2005-11-16	2009-11-17
217-334	2005-11-16	2009-11-17
217-335	2005-11-16	2009-11-17
217-336	2005-11-16	2009-11-17
217-337	2005-11-13	2009-11-14
217-338	2005-11-13	2009-11-14
