217-481	tracheal/op swab	tracheal swab
217-482	tracheal/op swab	tracheal swab
217-483	tracheal/op swab	tracheal swab
217-485	tracheal/op swab	tracheal swab
217-487	tracheal/op swab	tracheal swab
217-490	tracheal/op swab	tracheal swab
217-494	tracheal/op swab	tracheal swab
217-495	tracheal/op swab	tracheal swab
217-496	tracheal/op swab	tracheal swab
217-498	tracheal/op swab	tracheal swab
217-528	tracheal/op swab	tracheal swab
217-529	tracheal/op swab	tracheal swab
217-531	tracheal/op swab	tracheal swab
217-548	tracheal/op swab	tracheal swab
217-550	tracheal/op swab	tracheal swab
217-552	tracheal/op swab	tracheal swab
217-554	tracheal/op swab	tracheal swab
217-556	tracheal/op swab	tracheal swab
217-557	tracheal/op swab	tracheal swab
217-560	tracheal/op swab	tracheal swab
217-563	tracheal/op swab	tracheal swab
217-564	tracheal/op swab	tracheal swab
217-565	tracheal/op swab	tracheal swab
217-594	tracheal/op swab	tracheal swab
217-602	tracheal/op swab	tracheal swab
217-608	tracheal/op swab	tracheal swab
217-610	tracheal/op swab	tracheal swab
217-618	tracheal/op swab	tracheal swab
217-620	tracheal/op swab	tracheal swab
217-626	tracheal/op swab	tracheal swab
217-630	tracheal/op swab	tracheal swab
217-632	tracheal/op swab	tracheal swab
217-634	tracheal/op swab	tracheal swab
217-636	tracheal/op swab	tracheal swab
217-638	tracheal/op swab	tracheal swab
217-648	tracheal/op swab	tracheal swab
217-650	tracheal/op swab	tracheal swab
217-652	tracheal/op swab	tracheal swab
217-654	tracheal/op swab	tracheal swab
217-656	tracheal/op swab	tracheal swab
217-658	tracheal/op swab	tracheal swab
217-662	tracheal/op swab	tracheal swab
217-664	tracheal/op swab	tracheal swab
217-666	tracheal/op swab	tracheal swab
217-668	tracheal/op swab	tracheal swab
217-829	tracheal/op swab	tracheal swab
217-835	tracheal/op swab	tracheal swab
217-884	tracheal/op swab	tracheal swab
217-887	tracheal/op swab	tracheal swab
217-888	tracheal/op swab	tracheal swab
217-891	tracheal/op swab	tracheal swab
217-893	tracheal/op swab	tracheal swab
217-895	tracheal/op swab	tracheal swab
217-896	tracheal/op swab	tracheal swab
217-899	tracheal/op swab	tracheal swab
217-900	tracheal/op swab	tracheal swab
217-903	tracheal/op swab	tracheal swab
217-904	tracheal/op swab	tracheal swab
217-906	tracheal/op swab	tracheal swab
217-908	tracheal/op swab	tracheal swab
217-910	tracheal/op swab	tracheal swab
217-913	tracheal/op swab	tracheal swab
217-914	tracheal/op swab	tracheal swab
217-916	tracheal/op swab	tracheal swab
217-918	tracheal/op swab	tracheal swab
217-920	tracheal/op swab	tracheal swab
217-922	tracheal/op swab	tracheal swab
217-956	tracheal/op swab	tracheal swab
217-958	tracheal/op swab	tracheal swab
217-959	tracheal/op swab	tracheal swab
217-960	tracheal/op swab	tracheal swab
217-962	tracheal/op swab	tracheal swab
217-964	tracheal/op swab	tracheal swab
217-966	tracheal/op swab	tracheal swab
217-969	tracheal/op swab	tracheal swab
217-972	tracheal/op swab	tracheal swab
217-973	tracheal/op swab	tracheal swab
217-977	tracheal/op swab	tracheal swab
217-979	tracheal/op swab	tracheal swab
217-981	tracheal/op swab	tracheal swab
217-982	tracheal/op swab	tracheal swab
217-983	tracheal/op swab	tracheal swab
217-984	tracheal/op swab	tracheal swab
217-985	tracheal/op swab	tracheal swab
217-990	tracheal/op swab	tracheal swab
217-992	tracheal/op swab	tracheal swab
217-993	tracheal/op swab	tracheal swab
217-998	tracheal/op swab	tracheal swab
217-999	tracheal/op swab	tracheal swab
217-1001	tracheal/op swab	tracheal swab
217-1002	tracheal/op swab	tracheal swab
217-1003	tracheal/op swab	tracheal swab
217-1004	tracheal/op swab	tracheal swab
217-1006	tracheal/op swab	tracheal swab
217-1008	tracheal/op swab	tracheal swab
217-1009	tracheal/op swab	tracheal swab
217-1010	tracheal/op swab	tracheal swab
217-1012	tracheal/op swab	tracheal swab
217-1014	tracheal/op swab	tracheal swab
217-1015	tracheal/op swab	tracheal swab
217-1016	tracheal/op swab	tracheal swab
217-1018	tracheal/op swab	tracheal swab
217-1020	tracheal/op swab	tracheal swab
217-1021	tracheal/op swab	tracheal swab
217-1023	tracheal/op swab	tracheal swab
217-1024	tracheal/op swab	tracheal swab
217-1026	tracheal/op swab	tracheal swab
217-1028	tracheal/op swab	tracheal swab
217-1031	tracheal/op swab	tracheal swab
217-1034	tracheal/op swab	tracheal swab
217-1035	tracheal/op swab	tracheal swab
217-1038	tracheal/op swab	tracheal swab
217-1040	tracheal/op swab	tracheal swab
217-1041	tracheal/op swab	tracheal swab
217-1045	tracheal/op swab	tracheal swab
217-1046	tracheal/op swab	tracheal swab
217-1047	tracheal/op swab	tracheal swab
217-1048	tracheal/op swab	tracheal swab
217-1051	tracheal/op swab	tracheal swab
217-1054	other	cloacal/op
217-1055	other	cloacal/op
217-1056	other	cloacal/op
217-1057	other	cloacal/op
217-1058	other	cloacal/op
217-1059	other	cloacal/op
217-1060	other	cloacal/op
217-1061	other	cloacal/op
217-1062	other	cloacal/op
217-1063	other	cloacal/op
217-1064	other	cloacal/op
217-1065	other	cloacal/op
217-1066	other	cloacal/op
217-1067	other	cloacal/op
217-1068	other	cloacal/op
217-1069	other	cloacal/op
217-1070	other	cloacal/op
217-1071	other	cloacal/op
217-1072	other	cloacal/op
217-1073	other	cloacal/op
217-1074	other	cloacal/op
217-1075	other	cloacal/op
217-1076	other	cloacal/op
217-1077	other	cloacal/op
217-1078	other	cloacal/op
217-1079	other	cloacal/op
217-1080	other	cloacal/op
217-1081	other	cloacal/op
217-1082	other	cloacal/op
217-1083	other	cloacal/op
217-1084	other	cloacal/op
217-1085	other	cloacal/op
217-1087m	other	cloacal/op
217-1089	other	cloacal/op
217-1090	other	cloacal/op
217-1091	other	cloacal/op
217-1092	other	cloacal/op
217-1093	other	cloacal/op
217-1094	other	cloacal/op
217-1095	other	cloacal/op
217-1096	other	cloacal/op
217-1097	other	cloacal/op
217-1098	other	cloacal/op
217-1099	other	cloacal/op
217-1102	other	cloacal/op
217-1105	other	cloacal/op
217-1113	other	cloacal/op
217-1114	other	cloacal/op
217-1120	other	cloacal/op
217-1123	other	cloacal/op
217-1132	other	cloacal/op
217-1133	tracheal/op swab	tracheal swab
217-1137	tracheal/op swab	tracheal swab
217-1143	tracheal/op swab	tracheal swab
217-1147	tracheal/op swab	tracheal swab
217-1154	tracheal/op swab	tracheal swab
217-1168	tracheal/op swab	tracheal swab
